Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Count
single table single row,1,1.0000,1.0000,1.0000,1.0000,8
single table single row,2,1.0000,1.0000,1.0000,1.0000,8
single table single row,3,1.0000,1.0000,1.0000,1.0000,8
single table single row,4,1.0000,1.0000,1.0000,1.0000,8
single table single row,5,1.0000,1.0000,1.0000,1.0000,8
two tables single join,1,0.4444,0.3333,0.3810,0.2500,12
two tables single join,2,0.3000,0.2500,0.2727,0.2500,12
two tables single join,3,0.4000,0.3333,0.3636,0.3333,12
two tables single join,4,0.3000,0.2500,0.2727,0.2500,12
two tables single join,5,0.4000,0.3333,0.3636,0.3333,12
three tables two join,1,0.4000,0.1429,0.2105,0.1000,10
three tables two join,2,0.2500,0.1429,0.1818,0.1000,10
three tables two join,3,0.2857,0.1429,0.1905,0.1000,10
three tables two join,4,0.2500,0.1429,0.1818,0.1000,10
three tables two join,5,0.2857,0.1429,0.1905,0.1000,10
two tables single join multiple rows,1,0.9259,0.7143,0.8065,0.2500,8
two tables single join multiple rows,2,0.9286,0.7429,0.8254,0.3750,8
two tables single join multiple rows,3,0.9310,0.7714,0.8438,0.5000,8
two tables single join multiple rows,4,0.7222,0.7429,0.7324,0.5000,8
two tables single join multiple rows,5,0.7222,0.7429,0.7324,0.5000,8
single table multiple rows,1,0.9286,0.8667,0.8966,0.7273,11
single table multiple rows,2,1.0000,0.9000,0.9474,0.7273,11
single table multiple rows,3,1.0000,0.9333,0.9655,0.8182,11
single table multiple rows,4,1.0000,0.9000,0.9474,0.7273,11
single table multiple rows,5,1.0000,0.9333,0.9655,0.8182,11
