Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
three tables two joins,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
two tables single join,1,0.1667,0.1000,0.1250,0.2000,0.1667,0.1000,0.1250,0.2000,10
two tables single join,2,0.3333,0.1000,0.1538,0.2000,0.3333,0.1000,0.1538,0.2000,10
two tables single join,3,0.2222,0.1000,0.1379,0.2000,0.2857,0.1000,0.1481,0.2000,10
two tables single join,4,0.3333,0.1000,0.1538,0.2000,0.4000,0.1000,0.1600,0.2000,10
two tables single join,5,0.2500,0.1000,0.1429,0.2000,0.2500,0.1000,0.1429,0.2000,10
single table single row,1,0.2000,0.1250,0.1538,0.1250,0.2500,0.1250,0.1667,0.1250,8
single table single row,2,0.1667,0.1250,0.1429,0.1250,0.0000,0.0000,0.0000,0.0000,8
single table single row,3,0.2500,0.1250,0.1667,0.1250,0.0000,0.0000,0.0000,0.0000,8
single table single row,4,0.1429,0.1250,0.1333,0.1250,0.0000,0.0000,0.0000,0.0000,8
single table single row,5,0.3333,0.1250,0.1818,0.1250,0.0000,0.0000,0.0000,0.0000,8
single table multiple rows,1,0.3125,0.0980,0.1493,0.1111,0.2857,0.0784,0.1231,0.0000,9
single table multiple rows,2,0.6000,0.1176,0.1967,0.1111,0.4444,0.0784,0.1333,0.0000,9
single table multiple rows,3,0.4000,0.0784,0.1311,0.0000,0.4286,0.0588,0.1034,0.0000,9
single table multiple rows,4,0.3333,0.0588,0.1000,0.0000,0.2000,0.0196,0.0357,0.0000,9
single table multiple rows,5,0.4444,0.0784,0.1333,0.0000,0.5000,0.0588,0.1053,0.0000,9
